Darts, # proc, pi, time, error
1000,4,3.146,0.225877,0.00440735
1000,8,3.14869,0.465345,0.00709485
1000,16,3.1439,1.0207,0.00230756
1000,32,3.13934,2.4399,-0.00225431
1000,64,3.14046,4.87253,-0.00113245
1000000,4,3.14204,1.08492,0.000445253
1000000,8,3.14156,0.941765,-3.28098e-05
1000000,16,3.1415,1.33446,-9.66848e-05
1000000,32,3.14129,2.67219,-0.000305091
1000000,64,3.14158,5.01533,-1.14348e-05
1000,4,3.146,0.216656,0.00440735
1000,8,3.14869,0.435435,0.00709485
1000,16,3.1439,1.08161,0.00230756
1000,32,3.13934,2.33858,-0.00225431
1000,64,3.14046,4.96791,-0.00113245
1000000,4,3.14204,1.08635,0.000445253
1000000,8,3.14156,0.866628,-3.28098e-05
1000000,16,3.1415,1.22893,-9.66848e-05
1000000,32,3.14129,2.39497,-0.000305091
1000000,64,3.14158,4.97878,-1.14348e-05
1000,4,3.146,0.243318,0.00440735
1000,8,3.14869,0.44426,0.00709485
1000,16,3.1439,1.06115,0.00230756
1000,32,3.13934,2.37773,-0.00225431
1000,64,3.14046,4.85545,-0.00113245
1000000,4,3.14204,1.12624,0.000445253
1000000,8,3.14156,0.876009,-3.28098e-05
1000000,16,3.1415,1.25325,-9.66848e-05
1000000,32,3.14129,2.72847,-0.000305091
1000000,64,3.14158,4.93608,-1.14348e-05
1000,1,3.14016,0.136131,-0.0014364
1000,2,3.14069,0.161329,-0.000905154
1000000,1,3.14166,3.54558,6.55652e-05
1000000,2,3.14198,1.88431,0.000388846
1000,1,3.14016,0.13213,-0.0014364
1000,2,3.14069,0.144014,-0.000905154
1000000,1,3.14166,3.54085,6.55652e-05
1000000,2,3.14198,1.84994,0.000388846
1000,1,3.14016,0.131983,-0.0014364
1000,2,3.14069,0.170155,-0.000905154
1000000,1,3.14166,3.66293,6.55652e-05
1000000,2,3.14198,1.86287,0.000388846
1000000000,8,3.14158,438.83,-1.54768e-05
1000000000,16,3.14158,219.607,-1.71616e-05
1000000000,32,3.14159,114.625,-6.93712e-06
1000000000,64,3.14159,108.162,1.19554e-06
1000000000,8,3.14158,790.009,-1.54768e-05
1000000000,16,3.14158,220.031,-1.71616e-05
1000000000,32,3.14159,140.61,-6.93712e-06
1000000000,64,3.14159,63.7998,1.19554e-06
1000000000,8,3.14158,436.224,-1.54768e-05
1000000000,16,3.14158,220.651,-1.71616e-05
1000000000,32,3.14159,147.131,-6.93712e-06
1000000000,64,3.14159,73.8087,1.19554e-06
1000000000,1,3.14159,3421.46,-4.27953e-06
1000000000,1,3.14159,3420.39,-4.27953e-06
1000000000,1,3.14159,3428.61,-4.27953e-06
1000000000,2,3.14159,1706.59,1.37366e-06
1000000000,2,3.14159,1713.55,1.37366e-06
1000000000,2,3.14159,1709.83,1.37366e-06
1000000000,4,3.14159,1380.66,-2.72159e-06
1000000000,4,3.14159,1383.08,-2.72159e-06
1000000000,4,3.14159,1381.53,-2.72159e-06
