Darts, # proc, pi, time, error
1e+06,1,3.14174,5.92939,0.000152186
1e+06,2,3.14174,5.92628,0.000152186
1e+06,3,3.14174,5.94206,0.000146
1e+06,4,3.1417,6.55784,0.000103746
1e+06,1,3.14174,5.6943,0.000152186
1e+06,2,3.14174,5.96268,0.000152186
1e+06,3,3.14174,6.09961,0.000146
1e+06,4,3.1417,5.83261,0.000103746
1e+06,1,3.14174,5.7187,0.000152186
1e+06,2,3.14174,5.80208,0.000152186
1e+06,3,3.14174,5.71543,0.000146
1e+06,4,3.1417,5.89492,0.000103746
1e+06,1,3.14174,5.71332,0.000152186
1e+06,2,3.14174,5.90764,0.000152186
1e+06,3,3.14174,6.00526,0.000146
1e+06,4,3.1417,6.00211,0.000103746
1e+06,1,3.14174,5.69712,0.000152186
1e+06,2,3.14174,5.79455,0.000152186
1e+06,3,3.14174,5.91319,0.000146
1e+06,4,3.1417,5.96351,0.000103746
